"campaignid","sample","family","genus","species","length","number","range"
"2021-08_PtCloates_BOSS","PCPREF11","Lutjanidae","Aphareus","rutilans",708.51578,1,5296.00371
"2021-08_PtCloates_BOSS","PCPREF11","Lutjanidae","Aphareus","rutilans",697.50235,1,5681.59475
"2021-08_PtCloates_BOSS","PCFB2","Carangidae","Carangoides","chrysophrys",501.57448,1,3913.84294
"2021-08_PtCloates_BOSS","PCFB12","Lethrinidae","Gymnocranius","sp1",449.02991,1,2342.85594
"2021-08_PtCloates_BOSS","PCFB12","Lethrinidae","Gymnocranius","sp1",435.17421,1,3099.47584
"2021-08_PtCloates_BOSS","PCFB12","Carangidae","Seriola","rivoliana",776.16489,1,5520.15861
"2021-08_PtCloates_BOSS","PCFB28","Carangidae","Carangoides","fulvoguttatus",682.46313,1,5200.30652
"2021-08_PtCloates_BOSS","PCFB28","Carangidae","Carangoides","fulvoguttatus",664.7349,1,3756.22051
"2021-08_PtCloates_BOSS","PCPREF1","Lethrinidae","Gymnocranius","sp1",418.09684,1,1909.5704
"2021-08_PtCloates_BOSS","PCPREF1","Lutjanidae","Lutjanus","lemniscatus",400.81137,1,3983.11756
"2021-08_PtCloates_BOSS","PCPREF1","Pomacanthidae","Pomacanthus","semicirculatus",266.71753,1,4879.75613
"2021-08_PtCloates_BOSS","PCPREF1","Balistidae","Xanthichthys","lineopunctatus",239.79515,1,3081.48483
"2021-08_PtCloates_BOSS","PCPREF1","Cirrhitidae","Cyprinocirrhites","polyactis",110.92341,1,2875.79933
"2021-08_PtCloates_BOSS","PCPREF1","Serranidae","Pseudanthias","cooperi",79.51158,1,3373.81073
"2021-08_PtCloates_BOSS","PCFB23","Lethrinidae","Gymnocranius","sp1",476.98831,1,2471.78614
"2021-08_PtCloates_BOSS","PCFB23","Carangidae","Seriola","rivoliana",700.26764,1,4678.0379
"2021-08_PtCloates_BOSS","PCFB23","Lutjanidae","Aphareus","rutilans",648.57516,1,3037.52094
"2021-08_PtCloates_BOSS","PCFB23","Lutjanidae","Aphareus","rutilans",679.1111,1,1845.97559
"2021-08_PtCloates_BOSS","PCFB23","Carangidae","Seriola","dumerili",527.29043,1,2477.52708
"2021-08_PtCloates_BOSS","PCFB23","Carangidae","Seriola","dumerili",514.24158,1,2194.34318
"2021-08_PtCloates_BOSS","PCFB23","Carangidae","Seriola","rivoliana",542.41515,1,2114.116
"2021-08_PtCloates_BOSS","PCFB23","Chaetodontidae","Heniochus","acuminatus",213.52816,1,1460.05839
"2021-08_PtCloates_BOSS","PCFB23","Chaetodontidae","Heniochus","diphreutes",195.33486,1,1228.52608
"2021-08_PtCloates_BOSS","PCFB23","Chaetodontidae","Heniochus","diphreutes",215.81986,1,1404.62632
"2021-08_PtCloates_BOSS","PCFB23","Chaetodontidae","Heniochus","diphreutes",250.55518,1,1368.77801
"2021-08_PtCloates_BOSS","PCFB23","Lutjanidae","Aprion","virescens",907.94282,1,7277.67052
"2021-08_PtCloates_BOSS","PCFB46","Lutjanidae","Pristipomoides","sp1",478.76571,1,4259.92393
"2021-08_PtCloates_BOSS","PCFB46","Lutjanidae","Pristipomoides","sp1",528.20625,1,3793.25586
"2021-08_PtCloates_BOSS","PCFB46","Lutjanidae","Pristipomoides","sp1",467.68701,1,4260.33947
"2021-08_PtCloates_BOSS","PCFB46","Lethrinidae","Gymnocranius","sp1",449.05987,1,3247.7323
"2021-08_PtCloates_BOSS","PCFB46","Lethrinidae","Gymnocranius","sp1",346.01455,1,4112.22467
"2021-08_PtCloates_BOSS","PCFB46","Lutjanidae","Pristipomoides","sp1",463.97302,1,4575.15812
"2021-08_PtCloates_BOSS","PCFB46","Lethrinidae","Gymnocranius","sp1",287.06845,1,4010.54618
"2021-08_PtCloates_BOSS","PCFB46","Carangidae","Carangoides","chrysophrys",516.71471,1,2680.18376
"2021-08_PtCloates_BOSS","PCFB19","Lutjanidae","Aphareus","rutilans",505.182,1,3181.02956
"2021-08_PtCloates_BOSS","PCFB19","Lutjanidae","Aphareus","rutilans",641.62055,1,2283.34521
"2021-08_PtCloates_BOSS","PCFB19","Lutjanidae","Aphareus","rutilans",530.85044,1,2615.14955
"2021-08_PtCloates_BOSS","PCFB19","Lutjanidae","Aphareus","rutilans",360.65888,1,2903.92283
"2021-08_PtCloates_BOSS","PCFB19","Carangidae","Decapterus","spp",243.84709,1,4620.35135
"2021-08_PtCloates_BOSS","PCFB19","Carangidae","Decapterus","spp",268.2619,1,4463.24336
"2021-08_PtCloates_BOSS","PCFB19","Carangidae","Decapterus","spp",293.93088,1,4464.69111
"2021-08_PtCloates_BOSS","PCFB19","Carangidae","Decapterus","spp",290.30005,1,4589.50899
"2021-08_PtCloates_BOSS","PCFB19","Carangidae","Decapterus","spp",292.70704,1,4650.07721
"2021-08_PtCloates_BOSS","PCFB19","Carangidae","Decapterus","spp",141.47054,1,2008.78188
"2021-08_PtCloates_BOSS","PCFB19","Carangidae","Decapterus","spp",368.1855,1,4289.0999
"2021-08_PtCloates_BOSS","PCFB19","Carangidae","Decapterus","spp",260.23247,1,4592.39234
"2021-08_PtCloates_BOSS","PCFB19","Lutjanidae","Pristipomoides","sp1",274.67622,1,2956.92311
"2021-08_PtCloates_BOSS","PCFB19","Lutjanidae","Pristipomoides","sp1",287.11698,1,2780.40484
"2021-08_PtCloates_BOSS","PCFB19","Lutjanidae","Pristipomoides","sp1",338.89784,1,3437.66655
"2021-08_PtCloates_BOSS","PCFB19","Lutjanidae","Pristipomoides","sp1",277.85632,1,1966.53476
"2021-08_PtCloates_BOSS","PCFB19","Lutjanidae","Pristipomoides","sp1",280.05565,1,2897.88854
"2021-08_PtCloates_BOSS","PCFB19","Lutjanidae","Pristipomoides","sp1",262.69261,1,2974.96165
"2021-08_PtCloates_BOSS","PCFB19","Lutjanidae","Pristipomoides","sp1",284.67581,1,3156.95491
"2021-08_PtCloates_BOSS","PCFB19","Lutjanidae","Pristipomoides","sp1",235.00165,1,3762.83896
"2021-08_PtCloates_BOSS","PCFB19","Lutjanidae","Pristipomoides","sp1",305.02409,1,3640.90088
"2021-08_PtCloates_BOSS","PCFB19","Lutjanidae","Pristipomoides","sp1",282.59895,1,3129.44513
"2021-08_PtCloates_BOSS","PCFB19","Lutjanidae","Pristipomoides","sp1",240.28954,1,2299.75312
"2021-08_PtCloates_BOSS","PCFB19","Lutjanidae","Pristipomoides","sp1",275.87832,1,3253.79753
"2021-08_PtCloates_BOSS","PCFB19","Lutjanidae","Pristipomoides","sp1",278.61864,1,3156.74427
"2021-08_PtCloates_BOSS","PCFB19","Lutjanidae","Pristipomoides","sp1",248.45285,1,4336.39278
"2021-08_PtCloates_BOSS","PCFB19","Lutjanidae","Pristipomoides","sp1",267.48123,1,2409.88198
"2021-08_PtCloates_BOSS","PCFB19","Lutjanidae","Pristipomoides","sp1",290.79581,1,1896.88334
"2021-08_PtCloates_BOSS","PCFB19","Lutjanidae","Pristipomoides","sp1",345.49778,1,2481.1585
"2021-08_PtCloates_BOSS","PCFB19","Lethrinidae","Gymnocranius","sp1",421.04717,1,4976.44273
"2021-08_PtCloates_BOSS","PCFB19","Lethrinidae","Gymnocranius","sp1",347.76719,1,3111.63993
"2021-08_PtCloates_BOSS","PCFB19","Lethrinidae","Gymnocranius","sp1",353.45309,1,3376.59254
"2021-08_PtCloates_BOSS","PCPREF16","Lutjanidae","Pristipomoides","sp1",520.83599,1,5310.83224
"2021-08_PtCloates_BOSS","PCPREF16","Lutjanidae","Pristipomoides","sp1",479.13581,1,4915.52948
"2021-08_PtCloates_BOSS","PCPREF16","Mullidae","Parupeneus","heptacanthus",268.71546,1,4188.69003
"2021-08_PtCloates_BOSS","PCPREF16","Lutjanidae","Pristipomoides","sp1",555.98985,4,5520.68735
"2021-08_PtCloates_BOSS","PCPREF16","Lethrinidae","Gymnocranius","sp1",282.28563,1,3837.38043
"2021-08_PtCloates_BOSS","PCPREF16","Sparidae","Unknown","spp",363.42744,1,4901.33155
"2021-08_PtCloates_BOSS","PCPREF16","Lethrinidae","Gymnocranius","sp1",439.77956,1,3662.1211
"2021-08_PtCloates_BOSS","PCPREF16","Lethrinidae","Gymnocranius","sp1",370.08277,1,3490.36637
"2021-08_PtCloates_BOSS","PCPREF16","Lethrinidae","Gymnocranius","sp1",252.16208,1,3303.89598
"2021-08_PtCloates_BOSS","PCFB16","Carangidae","Seriola","spp",697.29396,1,7020.28407
"2021-08_PtCloates_BOSS","PCFB16","Carcharhinidae","Carcharhinus","albimarginatus",1775.19907,1,5002.62512
"2021-08_PtCloates_BOSS","PCFB16","Carangidae","Seriola","rivoliana",686.93736,1,4639.2479
"2021-08_PtCloates_BOSS","PCFB16","Lethrinidae","Gymnocranius","spp",472.15581,1,3726.67993
"2021-08_PtCloates_BOSS","PCFB32","Lethrinidae","Gymnocranius","sp1",498.35603,1,4217.65929
"2021-08_PtCloates_BOSS","PCFB32","Lethrinidae","Gymnocranius","sp1",433.12923,1,4490.46391
"2021-08_PtCloates_BOSS","PCFB32","Carangidae","Carangoides","fulvoguttatus",688.55661,1,4483.68282
"2021-08_PtCloates_BOSS","PCFB30","Carcharhinidae","Carcharhinus","albimarginatus",1535.04366,1,6947.04908
"2021-08_PtCloates_BOSS","PCFB31","Lethrinidae","Gymnocranius","sp1",576.17865,1,6228.91384
"2021-08_PtCloates_BOSS","PCFB31","Carcharhinidae","Carcharhinus","albimarginatus",1692.99969,1,4160.74955
"2021-08_PtCloates_BOSS","PCFB15.1","Chaetodontidae","Heniochus","acuminatus",264.1856,1,3986.13766
"2021-08_PtCloates_BOSS","PCFB15.1","Chaetodontidae","Heniochus","acuminatus",248.04465,1,2807.0951
"2021-08_PtCloates_BOSS","PCFB15.1","Chaetodontidae","Heniochus","acuminatus",252.88563,1,2394.82249
"2021-08_PtCloates_BOSS","PCFB15.1","Lethrinidae","Lethrinus","nebulosus",438.94558,1,5715.60881
"2021-08_PtCloates_BOSS","PCFB15.1","Lethrinidae","Lethrinus","miniatus",488.85319,1,5168.07415
"2021-08_PtCloates_BOSS","PCFB15.1","Scaridae","Scarus","spp",412.24656,1,5226.0632
"2021-08_PtCloates_BOSS","PCFB15.1","Lethrinidae","Gymnocranius","sp1",261.55665,1,3673.48801
"2021-08_PtCloates_BOSS","PCFB15.1","Lethrinidae","Gymnocranius","sp1",256.1971,1,2784.41001
"2021-08_PtCloates_BOSS","PCFB15.1","Scaridae","Scarus","spp",522.13912,1,4677.10492
"2021-08_PtCloates_BOSS","PCFB15.1","Carcharhinidae","Carcharhinus","albimarginatus",1918.48665,1,5455.13444
"2021-08_PtCloates_BOSS","PCFB20","Carcharhinidae","Carcharhinus","albimarginatus",1792.07926,1,5505.82114
"2021-08_PtCloates_BOSS","PCFB20","Lethrinidae","Gymnocranius","sp1",465.13181,1,3052.04595
"2021-08_PtCloates_BOSS","PCFB42","Carangidae","Seriola","rivoliana",675.28453,1,2733.84159
"2021-08_PtCloates_BOSS","PCFB42","Lutjanidae","Lutjanus","sebae",476.50803,1,6447.33273
"2021-08_PtCloates_BOSS","PCFB42","Lutjanidae","Aphareus","rutilans",678.07739,1,1552.13423
"2021-08_PtCloates_BOSS","PCFB42","Lutjanidae","Aphareus","rutilans",693.19501,1,1476.3651
"2021-08_PtCloates_BOSS","PCFB42","Lutjanidae","Aphareus","rutilans",742.34336,1,1935.36704
"2021-08_PtCloates_BOSS","PCFB42","Lutjanidae","Aphareus","rutilans",685.18873,1,2897.3956
"2021-08_PtCloates_BOSS","PCFB42","Lutjanidae","Aphareus","rutilans",656.61677,1,2140.26988
"2021-08_PtCloates_BOSS","PCFB42","Lutjanidae","Aphareus","rutilans",613.62129,1,1856.2757
"2021-08_PtCloates_BOSS","PCFB42","Lutjanidae","Aphareus","rutilans",683.26352,1,1883.23945
"2021-08_PtCloates_BOSS","PCFB42","Lutjanidae","Aphareus","rutilans",698.59201,1,1592.25217
"2021-08_PtCloates_BOSS","PCFB42","Lutjanidae","Aphareus","rutilans",692.4812,1,1619.26327
"2021-08_PtCloates_BOSS","PCFB42","Monacanthidae","Aluterus","monoceros",589.23802,1,5633.81527
"2021-08_PtCloates_BOSS","PCFB42","Lutjanidae","Aphareus","rutilans",742.36357,1,2652.1088
"2021-08_PtCloates_BOSS","PCFB42","Lutjanidae","Aphareus","rutilans",760.68587,1,2553.46437
"2021-08_PtCloates_BOSS","PCPREF6","Lutjanidae","Aphareus","rutilans",654.94748,1,3192.78982
"2021-08_PtCloates_BOSS","PCPREF6","Lutjanidae","Aphareus","rutilans",712.53445,1,3180.00871
"2021-08_PtCloates_BOSS","PCPREF6","Lethrinidae","Gymnocranius","sp1",444.3175,1,3963.51631
"2021-08_PtCloates_BOSS","PCPREF6","Carangidae","Seriola","rivoliana",830.09278,1,6039.6716
"2021-08_PtCloates_BOSS","PCFB4.1","Lethrinidae","Gymnocranius","sp1",453.85226,1,1226.17824
"2021-08_PtCloates_BOSS","PCFB4.1","Carcharhinidae","Carcharhinus","albimarginatus",1780.17299,1,6259.54779
"2021-08_PtCloates_BOSS","PCFB4.2","Carcharhinidae","Carcharhinus","albimarginatus",1710.80442,1,5378.73135
"2021-08_PtCloates_BOSS","PCFB4.2","Lethrinidae","Gymnocranius","sp1",379.38354,1,3282.8915
"2021-08_PtCloates_BOSS","PCFB18","Labridae","Suezichthys","cyanolaemus",83.30691,1,1113.28326
"2021-08_PtCloates_BOSS","PCFB18","Carcharhinidae","Carcharhinus","albimarginatus",1540.05881,1,4229.37875
"2021-08_PtCloates_BOSS","PCFB6","Carcharhinidae","Carcharhinus","albimarginatus",1430.01702,1,5323.46553
"2021-08_PtCloates_BOSS","PCFB6","Lethrinidae","Gymnocranius","euanus",453.60702,1,4682.3403
"2021-08_PtCloates_BOSS","PCFB36","Lethrinidae","Gymnocranius","sp1",327.01164,1,3374.8927
"2021-08_PtCloates_BOSS","PCFB10","Acanthuridae","Naso","fageni",493.76965,1,5105.34815
"2021-08_PtCloates_BOSS","PCFB10","Acanthuridae","Naso","fageni",487.12787,1,5479.41412
"2021-08_PtCloates_BOSS","PCFB10","Lutjanidae","Paracaesio","xanthura",423.44651,1,3078.35308
"2021-08_PtCloates_BOSS","PCFB10","Lutjanidae","Paracaesio","xanthura",473.67341,1,4042.12635
"2021-08_PtCloates_BOSS","PCFB10","Lutjanidae","Paracaesio","xanthura",354.12164,1,3629.89606
"2021-08_PtCloates_BOSS","PCFB10","Acanthuridae","Naso","fageni",416.87199,1,4909.9839
"2021-08_PtCloates_BOSS","PCFB10","Lutjanidae","Paracaesio","xanthura",425.35251,1,3425.58154
"2021-08_PtCloates_BOSS","PCFB10","Lutjanidae","Paracaesio","xanthura",432.82446,1,3191.32342
"2021-08_PtCloates_BOSS","PCFB10","Lutjanidae","Paracaesio","xanthura",448.64436,1,2923.63538
"2021-08_PtCloates_BOSS","PCFB10","Lutjanidae","Paracaesio","xanthura",333.92773,1,3892.99369
"2021-08_PtCloates_BOSS","PCFB10","Acanthuridae","Naso","fageni",395.008,1,4990.53398
"2021-08_PtCloates_BOSS","PCFB10","Acanthuridae","Naso","fageni",468.05217,1,5081.72478
"2021-08_PtCloates_BOSS","PCFB10","Acanthuridae","Naso","fageni",402.62342,1,5064.38911
"2021-08_PtCloates_BOSS","PCFB10","Acanthuridae","Naso","fageni",403.45884,1,4273.64798
"2021-08_PtCloates_BOSS","PCFB10","Acanthuridae","Naso","fageni",422.55759,1,4594.27603
"2021-08_PtCloates_BOSS","PCFB10","Acanthuridae","Naso","fageni",503.57901,1,4756.01804
"2021-08_PtCloates_BOSS","PCFB10","Acanthuridae","Naso","fageni",397.98209,1,4641.59388
"2021-08_PtCloates_BOSS","PCFB10","Lutjanidae","Paracaesio","xanthura",425.2992,1,3792.76921
"2021-08_PtCloates_BOSS","PCFB10","Lutjanidae","Paracaesio","xanthura",427.54185,1,3473.82913
"2021-08_PtCloates_BOSS","PCFB10","Acanthuridae","Naso","fageni",488.52374,1,5129.27858
"2021-08_PtCloates_BOSS","PCFB10","Acanthuridae","Naso","fageni",447.04211,1,4078.32154
"2021-08_PtCloates_BOSS","PCFB10","Acanthuridae","Naso","fageni",475.66171,1,4229.65658
"2021-08_PtCloates_BOSS","PCFB10","Acanthuridae","Naso","fageni",439.69033,1,3656.266
"2021-08_PtCloates_BOSS","PCFB10","Acanthuridae","Naso","fageni",423.49999,1,4594.563
"2021-08_PtCloates_BOSS","PCFB10","Acanthuridae","Naso","fageni",416.92254,1,4581.8315
"2021-08_PtCloates_BOSS","PCFB10","Acanthuridae","Naso","fageni",437.32312,1,4116.69413
"2021-08_PtCloates_BOSS","PCFB10","Lethrinidae","Gymnocranius","sp1",342.34579,1,3167.35055
"2021-08_PtCloates_BOSS","PCFB10","Lethrinidae","Lethrinus","rubrioperculatus",293.00263,1,3143.25511
"2021-08_PtCloates_BOSS","PCFB10","Lethrinidae","Lethrinus","rubrioperculatus",376.40821,1,3492.50192
"2021-08_PtCloates_BOSS","PCFB10","Pomacanthidae","Apolemichthys","trimaculatus",197.66458,1,2615.0502
"2021-08_PtCloates_BOSS","PCFB3","Haemulidae","Diagramma","pictum",443.8167,1,2636.19727
"2021-08_PtCloates_BOSS","PCFB3","Serranidae","Cephalopholis","sonnerati",412.25549,1,5165.18767
"2021-08_PtCloates_BOSS","PCFB3","Lutjanidae","Aphareus","rutilans",697.06208,1,3923.69998
"2021-08_PtCloates_BOSS","PCFB3","Mullidae","Parupeneus","spilurus",152.03363,1,3495.97992
"2021-08_PtCloates_BOSS","PCFB3","Lethrinidae","Gymnocranius","sp1",387.63812,1,2525.10771
"2021-08_PtCloates_BOSS","PCFB3","Lethrinidae","Lethrinus","rubrioperculatus",305.58696,1,3253.37097
"2021-08_PtCloates_BOSS","PCFB3","Mullidae","Parupeneus","spilurus",164.67783,1,2208.9697
"2021-08_PtCloates_BOSS","PCFB3","Mullidae","Parupeneus","spilurus",164.35312,1,2307.82182
"2021-08_PtCloates_BOSS","PCFB3","Mullidae","Parupeneus","spilurus",172.66956,1,2380.53401
"2021-08_PtCloates_BOSS","PCFBP14","Lutjanidae","Aphareus","rutilans",628.48878,1,2762.3011
"2021-08_PtCloates_BOSS","PCFBP14","Carangidae","Seriola","dumerili",1145.10618,1,3860.809
"2021-08_PtCloates_BOSS","PCFBP14","Carangidae","Seriola","dumerili",836.24392,1,3948.75194
"2021-08_PtCloates_BOSS","PCFB9","Lethrinidae","Lethrinus","rubrioperculatus",345.80194,1,2270.4812
"2021-08_PtCloates_BOSS","PCFB21","Lutjanidae","Lutjanus","sebae",628.02329,1,1383.1046
"2021-08_PtCloates_BOSS","PCFB1.2","Lethrinidae","Gymnocranius","sp1",314.02473,1,2711.52329
"2021-08_PtCloates_BOSS","PCFB1.2","Mullidae","Parupeneus","heptacanthus",295.52092,1,3546.47143
"2021-08_PtCloates_BOSS","PCFBP17","Lethrinidae","Lethrinus","miniatus",521.99488,1,1991.43191
"2021-08_PtCloates_BOSS","PCFBP18","Lethrinidae","Gymnocranius","euanus",453.97872,1,1483.18976
"2021-08_PtCloates_BOSS","PCFB29","Lethrinidae","Gymnocranius","sp1",463.17797,1,2887.99296
"2021-08_PtCloates_BOSS","PCFB35","Lutjanidae","Pristipomoides","sp1",391.13237,1,5717.21705
"2021-08_PtCloates_BOSS","PCFB35","Lutjanidae","Pristipomoides","sp1",509.51508,1,5269.84219
"2021-08_PtCloates_BOSS","PCFB35","Lutjanidae","Pristipomoides","sp1",417.72643,1,4166.52824
"2021-08_PtCloates_BOSS","PCFB35","Lutjanidae","Pristipomoides","sp1",369.20903,1,2393.37371
"2021-08_PtCloates_BOSS","PCFB35","Lutjanidae","Pristipomoides","sp1",380.74308,1,2530.65962
"2021-08_PtCloates_BOSS","PCFB35","Lutjanidae","Pristipomoides","sp1",456.2988,1,3959.28986
"2021-08_PtCloates_BOSS","PCFBP3","Chaetodontidae","Heniochus","acuminatus",206.9376,2,4562.32163
"2021-08_PtCloates_BOSS","PCFBP3","Chaetodontidae","Heniochus","acuminatus",209.54047,2,5171.18377
"2021-08_PtCloates_BOSS","PCFBP3","Caesionidae","Pterocaesio","spp",206.91306,1,3308.26948
"2021-08_PtCloates_BOSS","PCFBP3","Caesionidae","Pterocaesio","spp",217.52218,1,3533.2423
"2021-08_PtCloates_BOSS","PCFBP3","Chaetodontidae","Heniochus","acuminatus",194.07016,1,2216.95031
"2021-08_PtCloates_BOSS","PCFBP3","Chaetodontidae","Heniochus","acuminatus",244.49315,2,4202.63246
"2021-08_PtCloates_BOSS","PCFBP3","Chaetodontidae","Heniochus","acuminatus",238.46455,1,3195.88335
"2021-08_PtCloates_BOSS","PCFBP3","Chaetodontidae","Heniochus","acuminatus",213.42266,1,1944.67313
"2021-08_PtCloates_BOSS","PCFBP3","Chaetodontidae","Heniochus","acuminatus",199.68447,2,3062.84112
"2021-08_PtCloates_BOSS","PCFBP3","Chaetodontidae","Heniochus","acuminatus",215.5872,2,2616.58315
"2021-08_PtCloates_BOSS","PCFBP3","Chaetodontidae","Heniochus","acuminatus",199.71561,2,2581.75701
"2021-08_PtCloates_BOSS","PCFBP3","Chaetodontidae","Heniochus","acuminatus",153.30581,2,2508.30366
"2021-08_PtCloates_BOSS","PCFB34","Lethrinidae","Gymnocranius","sp1",466.25734,1,4878.708
"2021-08_PtCloates_BOSS","PCFB8","Lethrinidae","Lethrinus","miniatus",315.22484,1,4529.66367
"2021-08_PtCloates_BOSS","PCFB8","Lethrinidae","Gymnocranius","sp1",373.25113,1,5175.06762
"2021-08_PtCloates_BOSS","PCFB37","Lutjanidae","Pristipomoides","sp1",527.83103,1,4703.7142
"2021-08_PtCloates_BOSS","PCFB37","Lutjanidae","Pristipomoides","sp1",487.9244,1,5885.16561
"2021-08_PtCloates_BOSS","PCFB27","Acanthuridae","Naso","fageni",349.70912,1,4748.24799
"2021-08_PtCloates_BOSS","PCFB27","Acanthuridae","Naso","fageni",295.83026,1,3804.3799
"2021-08_PtCloates_BOSS","PCFB27","Acanthuridae","Naso","fageni",279.36967,1,3753.97154
"2021-08_PtCloates_BOSS","PCFB27","Acanthuridae","Naso","fageni",333.33489,1,4108.33662
"2021-08_PtCloates_BOSS","PCFB27","Acanthuridae","Naso","fageni",265.03802,1,3637.17142
"2021-08_PtCloates_BOSS","PCFB27","Chaetodontidae","Heniochus","diphreutes",217.7595,1,2478.02993
"2021-08_PtCloates_BOSS","PCFB27","Chaetodontidae","Heniochus","diphreutes",225.27604,1,3056.48703
"2021-08_PtCloates_BOSS","PCFB27","Acanthuridae","Naso","fageni",366.84173,1,2849.43121
"2021-08_PtCloates_BOSS","PCFB27","Chaetodontidae","Heniochus","diphreutes",245.69043,1,2109.30413
"2021-08_PtCloates_BOSS","PCFB27","Acanthuridae","Naso","fageni",373.09942,1,3185.1902
"2021-08_PtCloates_BOSS","PCFB27","Acanthuridae","Naso","fageni",366.34467,1,3111.45428
