"","Species","Year","Month","Day","Region","Location","Site","Lat","Lon","Sector","CaptureMeth","TL","TL10","TL20","TL50","Age","AgeClass"
"189","Pink Snapper",2006,12,27,"Metro","Garden Island",NA,NA,NA,"Recreational","LINE",444,440,440,400,4.08333,4
"190","Pink Snapper",2007,1,2,"Metro","Hillarys",NA,NA,NA,"Recreational","LINE",536,530,520,500,4.16667,4
"191","Pink Snapper",2007,1,2,"Metro","Hillarys",NA,NA,NA,"Recreational","LINE",555,550,540,550,4.16667,4
"192","Pink Snapper",2007,1,2,"Metro","Hillarys",NA,NA,NA,"Recreational","LINE",524,520,520,500,4.16667,4
"193","Pink Snapper",2007,1,9,"South-West","Cowaramup Bay",NA,NA,NA,"Recreational","LINE",535,530,520,500,NA,NA
"194","Pink Snapper",2007,1,9,"South-West","Cowaramup Bay",NA,NA,NA,"Recreational","LINE",540,540,540,500,NA,NA
"195","Pink Snapper",2007,1,9,"South-West","Cowaramup Bay",NA,NA,NA,"Recreational","LINE",681,680,680,650,NA,NA
"196","Pink Snapper",2007,1,9,"South-West","Cowaramup Bay",NA,NA,NA,"Recreational","LINE",728,720,720,700,NA,NA
"197","Pink Snapper",2007,1,9,"South-West","Cowaramup Bay",NA,NA,NA,"Recreational","LINE",613,610,600,600,NA,NA
"198","Pink Snapper",2007,1,9,"South-West","Cowaramup Bay",NA,NA,NA,"Recreational","LINE",703,700,700,700,NA,NA
"199","Pink Snapper",2007,1,9,"South-West","Cowaramup Bay",NA,NA,NA,"Recreational","LINE",645,640,640,600,NA,NA
"200","Pink Snapper",2007,1,9,"South-West","Cowaramup Bay",NA,NA,NA,"Recreational","LINE",580,580,580,550,NA,NA
"201","Pink Snapper",2007,1,28,"Metro","Mindarie",NA,NA,NA,"Recreational","LINE",555,550,540,550,4.16667,4
"202","Pink Snapper",2007,1,28,"Metro","Guilderton",NA,NA,NA,"Recreational","LINE",494,490,480,450,4.16667,4
"203","Pink Snapper",2007,1,28,"Metro","Guilderton",NA,NA,NA,"Recreational","LINE",435,430,420,400,3.16667,3
"204","Pink Snapper",2007,2,15,"Metro","Ocean Reef",NA,NA,NA,"Recreational","LINE",744,740,740,700,NA,NA
"205","Pink Snapper",2007,2,21,"Metro","Rottnest",NA,NA,NA,"Recreational","LINE",595,590,580,550,5.25,5
"206","Pink Snapper",2007,3,11,"Metro","Mindarie",NA,NA,NA,"Recreational","LINE",504,500,500,500,4.33333,4
"207","Pink Snapper",2007,3,25,"Metro","Quinns Rock",NA,NA,NA,"Recreational","LINE",894,890,880,850,9.33333,9
"208","Pink Snapper",2007,3,29,"South-West","Bunbury",NA,NA,NA,"Recreational","LINE",590,590,580,550,5.33333,5
"209","Pink Snapper",2007,4,7,"Metro","Ocean Reef",NA,NA,NA,"Recreational","LINE",790,790,780,750,7.41667,7
"210","Pink Snapper",2007,4,28,"Metro","Mindarie",NA,NA,NA,"Recreational","LINE",822,820,820,800,NA,NA
"211","Pink Snapper",2007,4,28,"Metro","Swanbourne Reef",NA,NA,NA,"Recreational","LINE",686,680,680,650,6.41667,6
