"","Species","Year","Month","Day","Region","Location","Site","Lat","Lon","Sector","CaptureMeth","TL","TL10","TL20","TL50"
"16","Pink Snapper",2005,2,3,"South-West","Bunbury",NA,NA,NA,"Recreational","LINE",639,630,620,600
"17","Pink Snapper",2005,2,3,"Metro","Rottnest",NA,NA,NA,"Recreational","LINE",526,520,520,500
"18","Pink Snapper",2005,2,7,"South-West","Cape Naturaliste",NA,-33.20833397,114.7916679,"Commercial","LINE",651,650,640,650
"19","Pink Snapper",2005,2,7,"South-West","Cape Naturaliste",NA,-33.20833397,114.7916679,"Commercial","LINE",532,530,520,500
"20","Pink Snapper",2005,2,7,"South-West","Cape Naturaliste",NA,-33.20833397,114.7916679,"Commercial","LINE",657,650,640,650
"21","Pink Snapper",2005,2,7,"South-West","Cape Naturaliste",NA,-33.20833397,114.7916679,"Commercial","LINE",620,620,620,600
"22","Pink Snapper",2005,2,7,"South-West","Cape Naturaliste",NA,-33.20833397,114.7916679,"Commercial","LINE",610,610,600,600
"23","Pink Snapper",2005,2,7,"South-West","Cape Naturaliste",NA,-33.20833397,114.7916679,"Commercial","LINE",600,600,600,600
"24","Pink Snapper",2005,2,20,"South-West","Geographe Bay",NA,NA,NA,"Recreational","LINE",436,430,420,400
"25","Pink Snapper",2005,3,5,"Metro","Mandurah",NA,NA,NA,"Recreational","LINE",595,590,580,550
"26","Pink Snapper",2005,3,13,"Metro","Two Rocks",NA,NA,NA,"Recreational","LINE",491,490,480,450
"27","Pink Snapper",2005,3,13,"Metro","Two Rocks",NA,NA,NA,"Recreational","LINE",442,440,440,400
"28","Pink Snapper",2005,3,15,"South-West","Geographe Bay",NA,NA,NA,"Recreational","LINE",584,580,580,550
"29","Pink Snapper",2005,3,20,"South-West","Bunbury",NA,NA,NA,"Recreational","LINE",626,620,620,600
"30","Pink Snapper",2005,3,20,"South-West","Bunbury",NA,NA,NA,"Recreational","LINE",660,660,660,650
"31","Pink Snapper",2005,3,20,"South-West","Bunbury",NA,NA,NA,"Recreational","LINE",673,670,660,650
"32","Pink Snapper",2005,4,16,"Metro","Ocean Reef",NA,NA,NA,"Recreational","LINE",534,530,520,500
"33","Pink Snapper",2005,4,25,"South-West","Geographe Bay",NA,NA,NA,"Recreational","LINE",589,580,580,550
"34","Pink Snapper",2005,4,25,"South-West","Geographe Bay",NA,NA,NA,"Recreational","LINE",421,420,420,400
"35","Pink Snapper",2005,5,22,"South-West","Bunbury",NA,NA,NA,"Recreational","LINE",870,870,860,850
"36","Pink Snapper",2005,8,11,"South-West","Bunbury",NA,NA,NA,"Recreational","LINE",634,630,620,600
"37","Pink Snapper",2005,8,11,"South-West","Bunbury",NA,NA,NA,"Recreational","LINE",504,500,500,500
"38","Pink Snapper",2005,8,14,"Metro","Mandurah",NA,NA,NA,"Recreational","LINE",550,550,540,550
"39","Pink Snapper",2005,8,20,"South-West","South Of Mandurah",NA,NA,NA,"Commercial","LINE",570,570,560,550
"40","Pink Snapper",2005,8,20,"South-West","South Of Mandurah",NA,NA,NA,"Commercial","LINE",535,530,520,500
"41","Pink Snapper",2005,8,20,"South-West","South Of Mandurah",NA,NA,NA,"Commercial","LINE",556,550,540,550
"42","Pink Snapper",2005,8,20,"South-West","South Of Mandurah",NA,NA,NA,"Commercial","LINE",510,510,500,500
"43","Pink Snapper",2005,8,20,"South-West","South Of Mandurah",NA,NA,NA,"Commercial","LINE",536,530,520,500
"44","Pink Snapper",2005,8,20,"South-West","South Of Mandurah",NA,NA,NA,"Commercial","LINE",560,560,560,550
"45","Pink Snapper",2005,8,20,"South-West","South Of Mandurah",NA,NA,NA,"Commercial","LINE",593,590,580,550
"46","Pink Snapper",2005,8,20,"South-West","South Of Mandurah",NA,NA,NA,"Commercial","LINE",572,570,560,550
"47","Pink Snapper",2005,8,20,"South-West","South Of Mandurah",NA,NA,NA,"Commercial","LINE",628,620,620,600
"48","Pink Snapper",2005,8,20,"South-West","South Of Mandurah",NA,NA,NA,"Commercial","LINE",695,690,680,650
"49","Pink Snapper",2005,8,20,"South-West","South Of Mandurah",NA,NA,NA,"Commercial","LINE",792,790,780,750
"50","Pink Snapper",2005,8,20,"South-West","South Of Mandurah",NA,NA,NA,"Commercial","LINE",712,710,700,700
"51","Pink Snapper",2005,8,20,"South-West","South Of Mandurah",NA,NA,NA,"Commercial","LINE",666,660,660,650
"52","Pink Snapper",2005,8,20,"South-West","South Of Mandurah",NA,NA,NA,"Commercial","LINE",739,730,720,700
"53","Pink Snapper",2005,8,20,"South-West","South Of Mandurah",NA,NA,NA,"Commercial","LINE",528,520,520,500
"54","Pink Snapper",2005,8,20,"South-West","South Of Mandurah",NA,NA,NA,"Commercial","LINE",533,530,520,500
"55","Pink Snapper",2005,8,20,"South-West","South Of Mandurah",NA,NA,NA,"Commercial","LINE",522,520,520,500
"56","Pink Snapper",2005,8,20,"South-West","South Of Mandurah",NA,NA,NA,"Commercial","LINE",542,540,540,500
"57","Pink Snapper",2005,8,20,"South-West","South Of Mandurah",NA,NA,NA,"Commercial","LINE",495,490,480,450
"58","Pink Snapper",2005,8,20,"South-West","South Of Mandurah",NA,NA,NA,"Commercial","LINE",477,470,460,450
"59","Pink Snapper",2005,8,21,"South-West","South Of Mandurah",NA,NA,NA,"Commercial","LINE",637,630,620,600
"60","Pink Snapper",2005,8,21,"South-West","South Of Mandurah",NA,NA,NA,"Commercial","LINE",770,770,760,750
"61","Pink Snapper",2005,8,21,"South-West","South Of Mandurah",NA,NA,NA,"Commercial","LINE",736,730,720,700
"62","Pink Snapper",2005,8,8,"South-West","Geographe Bay",NA,NA,NA,"Recreational","LINE",621,620,620,600
"63","Pink Snapper",2005,8,21,"South-West","Geographe Bay",NA,NA,NA,"Recreational","LINE",515,510,500,500
"64","Pink Snapper",2005,8,21,"South-West","Geographe Bay",NA,NA,NA,"Recreational","LINE",639,630,620,600
"65","Pink Snapper",2005,8,21,"South-West","Geographe Bay",NA,NA,NA,"Recreational","LINE",454,450,440,450
"66","Pink Snapper",2005,8,21,"South-West","Geographe Bay",NA,NA,NA,"Recreational","LINE",565,560,560,550
"67","Pink Snapper",2005,8,25,"South-West","South Of Mandurah",NA,NA,NA,"Commercial","LINE",531,530,520,500
"68","Pink Snapper",2005,8,25,"South-West","South Of Mandurah",NA,NA,NA,"Commercial","LINE",510,510,500,500
"69","Pink Snapper",2005,8,25,"South-West","South Of Mandurah",NA,NA,NA,"Commercial","LINE",515,510,500,500
"70","Pink Snapper",2005,8,25,"South-West","South Of Mandurah",NA,NA,NA,"Commercial","LINE",487,480,480,450
"71","Pink Snapper",2005,8,25,"South-West","South Of Mandurah",NA,NA,NA,"Commercial","LINE",515,510,500,500
"72","Pink Snapper",2005,8,25,"South-West","South Of Mandurah",NA,NA,NA,"Commercial","LINE",490,490,480,450
"73","Pink Snapper",2005,8,25,"South-West","South Of Mandurah",NA,NA,NA,"Commercial","LINE",484,480,480,450
"74","Pink Snapper",2005,8,25,"South-West","South Of Mandurah",NA,NA,NA,"Commercial","LINE",516,510,500,500
"75","Pink Snapper",2005,8,25,"South-West","South Of Mandurah",NA,NA,NA,"Commercial","LINE",532,530,520,500
"76","Pink Snapper",2005,8,25,"South-West","South Of Mandurah",NA,NA,NA,"Commercial","LINE",497,490,480,450
"77","Pink Snapper",2005,8,27,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",679,670,660,650
"78","Pink Snapper",2005,8,27,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",631,630,620,600
"79","Pink Snapper",2005,8,27,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",699,690,680,650
"80","Pink Snapper",2005,8,27,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",615,610,600,600
"81","Pink Snapper",2005,8,27,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",600,600,600,600
"82","Pink Snapper",2005,8,27,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",506,500,500,500
"83","Pink Snapper",2005,8,27,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",576,570,560,550
"84","Pink Snapper",2005,8,27,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",527,520,520,500
"85","Pink Snapper",2005,8,27,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",600,600,600,600
"86","Pink Snapper",2005,8,27,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",535,530,520,500
"87","Pink Snapper",2005,8,27,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",510,510,500,500
"88","Pink Snapper",2005,8,27,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",489,480,480,450
"89","Pink Snapper",2005,8,27,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",550,550,540,550
"90","Pink Snapper",2005,8,27,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",570,570,560,550
"91","Pink Snapper",2005,8,27,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",556,550,540,550
"92","Pink Snapper",2005,8,29,"South-West","Geographe Bay",NA,NA,NA,"Commercial","LINE",468,460,460,450
"93","Pink Snapper",2005,8,29,"South-West","Geographe Bay",NA,NA,NA,"Commercial","LINE",503,500,500,500
"94","Pink Snapper",2005,8,29,"South-West","Geographe Bay",NA,NA,NA,"Commercial","LINE",525,520,520,500
"95","Pink Snapper",2005,8,29,"South-West","Geographe Bay",NA,NA,NA,"Commercial","LINE",467,460,460,450
"96","Pink Snapper",2005,8,29,"South-West","Geographe Bay",NA,NA,NA,"Commercial","LINE",491,490,480,450
"97","Pink Snapper",2005,9,15,"Metro","Mandurah",NA,NA,NA,"Commercial","LINE",607,600,600,600
"98","Pink Snapper",2005,9,15,"Metro","Mandurah",NA,NA,NA,"Commercial","LINE",592,590,580,550
"99","Pink Snapper",2005,9,15,"Metro","Mandurah",NA,NA,NA,"Commercial","LINE",576,570,560,550
"100","Pink Snapper",2005,9,15,"Metro","Mandurah",NA,NA,NA,"Commercial","LINE",590,590,580,550
"101","Pink Snapper",2005,9,15,"Metro","Mandurah",NA,NA,NA,"Commercial","LINE",570,570,560,550
"102","Pink Snapper",2005,9,15,"Metro","Mandurah",NA,NA,NA,"Commercial","LINE",585,580,580,550
"103","Pink Snapper",2005,9,10,"South-West","Geographe Bay",NA,NA,NA,"Commercial","LINE",446,440,440,400
"104","Pink Snapper",2005,9,10,"South-West","Geographe Bay",NA,NA,NA,"Commercial","LINE",449,440,440,400
"105","Pink Snapper",2005,9,10,"South-West","Geographe Bay",NA,NA,NA,"Commercial","LINE",455,450,440,450
"106","Pink Snapper",2005,9,10,"South-West","Geographe Bay",NA,NA,NA,"Commercial","LINE",472,470,460,450
"107","Pink Snapper",2005,9,10,"South-West","Geographe Bay",NA,NA,NA,"Commercial","LINE",453,450,440,450
"108","Pink Snapper",2005,9,10,"South-West","Geographe Bay",NA,NA,NA,"Commercial","LINE",455,450,440,450
"109","Pink Snapper",2005,9,10,"South-West","Geographe Bay",NA,NA,NA,"Commercial","LINE",441,440,440,400
"110","Pink Snapper",2005,9,10,"South-West","Geographe Bay",NA,NA,NA,"Commercial","LINE",485,480,480,450
"111","Pink Snapper",2005,9,2,"South-West","Bunbury",NA,NA,NA,"Recreational","LINE",479,470,460,450
"112","Pink Snapper",2005,10,15,"South-West","Geographe Bay",NA,NA,NA,"Commercial","LINE",772,770,760,750
"113","Pink Snapper",2005,10,15,"South-West","Geographe Bay",NA,NA,NA,"Commercial","LINE",650,650,640,650
"114","Pink Snapper",2005,10,15,"Metro","Hillarys",NA,NA,NA,"Recreational","LINE",738,730,720,700
"115","Pink Snapper",2005,10,15,"Metro","Hillarys",NA,NA,NA,"Recreational","LINE",436,430,420,400
"116","Pink Snapper",2005,10,15,"Metro","Hillarys",NA,NA,NA,"Recreational","LINE",500,500,500,500
"117","Pink Snapper",2005,10,15,"South-West","Geographe Bay",NA,NA,NA,"Commercial","LINE",698,690,680,650
"118","Pink Snapper",2005,10,14,"Metro","Dawesville",NA,NA,NA,"Recreational","LINE",546,540,540,500
"119","Pink Snapper",2005,10,15,"Metro","Dawesville",NA,NA,NA,"Recreational","LINE",592,590,580,550
"120","Pink Snapper",2005,10,21,"Metro","Rottnest",NA,NA,NA,"Recreational","LINE",638,630,620,600
"121","Pink Snapper",2005,10,23,"Metro","Hillarys",NA,NA,NA,"Recreational","LINE",806,800,800,800
"122","Pink Snapper",2005,10,23,"Metro","Hillarys",NA,NA,NA,"Recreational","LINE",611,610,600,600
"123","Pink Snapper",2005,10,23,"Metro","Hillarys",NA,NA,NA,"Recreational","LINE",511,510,500,500
"124","Pink Snapper",2005,10,23,"Metro","Hillarys",NA,NA,NA,"Recreational","LINE",502,500,500,500
"125","Pink Snapper",2005,10,23,"Metro","Hillarys",NA,NA,NA,"Recreational","LINE",595,590,580,550
"126","Pink Snapper",2005,11,2,"Metro","Rottnest",NA,NA,NA,"Recreational","LINE",547,540,540,500
"127","Pink Snapper",2005,11,15,"Metro","Rottnest",NA,NA,NA,"Recreational","LINE",534,530,520,500
"128","Pink Snapper",2005,12,18,"Metro","Rottnest",NA,NA,NA,"Recreational","LINE",546,540,540,500
"129","Pink Snapper",2006,1,6,"South-West","Bunbury",NA,NA,NA,"Recreational","LINE",645,640,640,600
"130","Pink Snapper",2006,1,6,"South-West","Bunbury",NA,NA,NA,"Recreational","LINE",709,700,700,700
"131","Pink Snapper",2006,1,6,"South-West","Bunbury",NA,NA,NA,"Recreational","LINE",953,950,940,950
"132","Pink Snapper",2006,2,15,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",564,560,560,550
"133","Pink Snapper",2006,2,15,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",622,620,620,600
"134","Pink Snapper",2006,2,15,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",616,610,600,600
"135","Pink Snapper",2006,2,15,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",645,640,640,600
"136","Pink Snapper",2006,2,15,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",627,620,620,600
"137","Pink Snapper",2006,2,15,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",564,560,560,550
"138","Pink Snapper",2006,2,15,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",570,570,560,550
"139","Pink Snapper",2006,2,15,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",599,590,580,550
"140","Pink Snapper",2006,2,15,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",602,600,600,600
"141","Pink Snapper",2006,2,15,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",622,620,620,600
"142","Pink Snapper",2006,2,15,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",620,620,620,600
"143","Pink Snapper",2006,2,15,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",545,540,540,500
"144","Pink Snapper",2006,2,15,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",488,480,480,450
"145","Pink Snapper",2006,2,15,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",563,560,560,550
"146","Pink Snapper",2006,2,15,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",608,600,600,600
"147","Pink Snapper",2006,2,15,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",618,610,600,600
"148","Pink Snapper",2006,2,15,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",553,550,540,550
"149","Pink Snapper",2006,2,15,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",518,510,500,500
"150","Pink Snapper",2006,2,15,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",546,540,540,500
"151","Pink Snapper",2006,2,15,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",603,600,600,600
"152","Pink Snapper",2006,2,15,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",609,600,600,600
"153","Pink Snapper",2006,2,15,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",537,530,520,500
"154","Pink Snapper",2006,2,15,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",672,670,660,650
"155","Pink Snapper",2006,2,15,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",642,640,640,600
"156","Pink Snapper",2006,2,15,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",689,680,680,650
"157","Pink Snapper",2006,2,15,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",656,650,640,650
"158","Pink Snapper",2006,2,15,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",659,650,640,650
"159","Pink Snapper",2006,2,15,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",537,530,520,500
"160","Pink Snapper",2006,2,15,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",602,600,600,600
"161","Pink Snapper",2006,2,15,"South-West","Busselton",NA,NA,NA,"Recreational","LINE",470,470,460,450
"162","Pink Snapper",2006,2,15,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",641,640,640,600
"163","Pink Snapper",2006,2,15,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",630,630,620,600
"164","Pink Snapper",2006,2,15,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",675,670,660,650
"165","Pink Snapper",2006,2,15,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",606,600,600,600
"166","Pink Snapper",2006,2,15,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",581,580,580,550
"167","Pink Snapper",2006,2,14,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Recreational","LINE",452,450,440,450
"168","Pink Snapper",2006,2,14,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Recreational","LINE",581,580,580,550
"169","Pink Snapper",2006,2,14,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Recreational","LINE",525,520,520,500
"170","Pink Snapper",2006,3,4,"Metro","Ocean Reef",NA,NA,NA,"Recreational","LINE",545,540,540,500
"171","Pink Snapper",2006,4,20,"South-West","Bunbury",NA,NA,NA,"Recreational","LINE",513,510,500,500
"172","Pink Snapper",2006,5,12,"South-West","Bunbury",NA,NA,NA,"Recreational","LINE",459,450,440,450
"173","Pink Snapper",2006,8,9,"South-West","Bunbury",NA,NA,NA,"Recreational","LINE",653,650,640,650
"174","Pink Snapper",2006,9,3,"Metro","Point Peron",NA,NA,NA,"Recreational","LINE",565,560,560,550
"175","Pink Snapper",2006,9,13,"Metro","South West Bank",NA,NA,NA,"Recreational","LINE",525,520,520,500
"176","Pink Snapper",2006,9,27,"Metro","South West Bank",NA,NA,NA,"Recreational","LINE",575,570,560,550
"177","Pink Snapper",2006,10,15,"Metro","Garden Island",NA,NA,NA,"Recreational","LINE",428,420,420,400
"178","Pink Snapper",2006,10,26,"Metro","Hillarys",NA,NA,NA,"Recreational","LINE",454,450,440,450
"179","Pink Snapper",2006,11,2,"Metro","Garden Island",NA,NA,NA,"Recreational","LINE",464,460,460,450
"180","Pink Snapper",2006,11,10,"Metro","Mandurah",NA,NA,NA,"Recreational","LINE",552,550,540,550
"181","Pink Snapper",2006,11,26,"Metro","Garden Island",NA,NA,NA,"Recreational","LINE",467,460,460,450
"182","Pink Snapper",2006,12,20,"Metro","Lancelin",NA,NA,NA,"Recreational","LINE",555,550,540,550
"183","Pink Snapper",2006,12,20,"Metro","Lancelin",NA,NA,NA,"Recreational","LINE",425,420,420,400
"184","Pink Snapper",2006,12,20,"Metro","Lancelin",NA,NA,NA,"Recreational","LINE",649,640,640,600
"185","Pink Snapper",2006,12,20,"Metro","Lancelin",NA,NA,NA,"Recreational","LINE",427,420,420,400
"186","Pink Snapper",2006,12,21,"South-West","Bunbury",NA,NA,NA,"Recreational","LINE",531,530,520,500
"187","Pink Snapper",2006,12,27,"Metro","Garden Island",NA,NA,NA,"Recreational","LINE",477,470,460,450
"188","Pink Snapper",2006,12,27,"Metro","Garden Island",NA,NA,NA,"Recreational","LINE",424,420,420,400
"189","Pink Snapper",2006,12,27,"Metro","Garden Island",NA,NA,NA,"Recreational","LINE",444,440,440,400
"190","Pink Snapper",2007,1,2,"Metro","Hillarys",NA,NA,NA,"Recreational","LINE",536,530,520,500
"191","Pink Snapper",2007,1,2,"Metro","Hillarys",NA,NA,NA,"Recreational","LINE",555,550,540,550
"192","Pink Snapper",2007,1,2,"Metro","Hillarys",NA,NA,NA,"Recreational","LINE",524,520,520,500
"193","Pink Snapper",2007,1,9,"South-West","Cowaramup Bay",NA,NA,NA,"Recreational","LINE",535,530,520,500
"194","Pink Snapper",2007,1,9,"South-West","Cowaramup Bay",NA,NA,NA,"Recreational","LINE",540,540,540,500
"195","Pink Snapper",2007,1,9,"South-West","Cowaramup Bay",NA,NA,NA,"Recreational","LINE",681,680,680,650
"196","Pink Snapper",2007,1,9,"South-West","Cowaramup Bay",NA,NA,NA,"Recreational","LINE",728,720,720,700
"197","Pink Snapper",2007,1,9,"South-West","Cowaramup Bay",NA,NA,NA,"Recreational","LINE",613,610,600,600
"198","Pink Snapper",2007,1,9,"South-West","Cowaramup Bay",NA,NA,NA,"Recreational","LINE",703,700,700,700
"199","Pink Snapper",2007,1,9,"South-West","Cowaramup Bay",NA,NA,NA,"Recreational","LINE",645,640,640,600
"200","Pink Snapper",2007,1,9,"South-West","Cowaramup Bay",NA,NA,NA,"Recreational","LINE",580,580,580,550
"201","Pink Snapper",2007,1,28,"Metro","Mindarie",NA,NA,NA,"Recreational","LINE",555,550,540,550
"202","Pink Snapper",2007,1,28,"Metro","Guilderton",NA,NA,NA,"Recreational","LINE",494,490,480,450
"203","Pink Snapper",2007,1,28,"Metro","Guilderton",NA,NA,NA,"Recreational","LINE",435,430,420,400
"204","Pink Snapper",2007,2,15,"Metro","Ocean Reef",NA,NA,NA,"Recreational","LINE",744,740,740,700
"205","Pink Snapper",2007,2,21,"Metro","Rottnest",NA,NA,NA,"Recreational","LINE",595,590,580,550
"206","Pink Snapper",2007,3,11,"Metro","Mindarie",NA,NA,NA,"Recreational","LINE",504,500,500,500
"207","Pink Snapper",2007,3,25,"Metro","Quinns Rock",NA,NA,NA,"Recreational","LINE",894,890,880,850
"208","Pink Snapper",2007,3,29,"South-West","Bunbury",NA,NA,NA,"Recreational","LINE",590,590,580,550
"209","Pink Snapper",2007,4,7,"Metro","Ocean Reef",NA,NA,NA,"Recreational","LINE",790,790,780,750
"210","Pink Snapper",2007,4,28,"Metro","Mindarie",NA,NA,NA,"Recreational","LINE",822,820,820,800
"211","Pink Snapper",2007,4,28,"Metro","Swanbourne Reef",NA,NA,NA,"Recreational","LINE",686,680,680,650
"212","Pink Snapper",2007,7,14,"Metro","Garden Island",NA,NA,NA,"Recreational","LINE",820,820,820,800
"213","Pink Snapper",2007,7,18,"Metro","Mandurah",NA,-32.54166603,115.375,"Recreational","LINE",575,570,560,550
"214","Pink Snapper",2011,7,23,"Metro","Rottnest",NA,-32.04166603,115.5416679,"Recreational","LINE",648,640,640,600
"215","Pink Snapper",2011,8,5,"Metro","Scarborough",NA,NA,NA,"Recreational","LINE",731,730,720,700
"216","Pink Snapper",2011,8,20,"Metro","Guilderton",NA,NA,NA,"Recreational","LINE",872,870,860,850
"217","Pink Snapper",2011,9,14,"Metro","Hillarys",NA,NA,NA,"Recreational","LINE",692,690,680,650
"218","Pink Snapper",2011,9,14,"Metro","Hillarys",NA,NA,NA,"Recreational","LINE",668,660,660,650
"219","Pink Snapper",2011,9,28,"Metro","Between Garden and Carnac Is.",NA,NA,NA,"Recreational","LINE",794,790,780,750
"220","Pink Snapper",2011,10,5,"Metro","Ledge Point",NA,NA,NA,"Recreational","LINE",633,630,620,600
"221","Pink Snapper",2008,3,16,"South-West","South West Bank",NA,NA,NA,"Recreational","LINE",528,520,520,500
"222","Pink Snapper",2008,3,16,"South-West","South West Bank",NA,NA,NA,"Recreational","LINE",713,710,700,700
"223","Pink Snapper",2008,4,5,"South-West","Canal Rocks",NA,-33.625,114.875,"Recreational","LINE",576,570,560,550
"224","Pink Snapper",2008,4,15,"South-West","Cape Naturaliste",NA,-33.375,114.875,"Recreational","LINE",821,820,820,800
"225","Pink Snapper",2008,4,15,"South-West","Cape Naturaliste",NA,-33.375,114.875,"Recreational","LINE",674,670,660,650
"226","Pink Snapper",2008,4,15,"South-West","Cape Naturaliste",NA,-33.375,114.875,"Recreational","LINE",508,500,500,500
"227","Pink Snapper",2008,4,15,"South-West","Cape Naturaliste",NA,-33.375,114.875,"Recreational","LINE",736,730,720,700
"228","Pink Snapper",2008,4,15,"South-West","Cape Naturaliste",NA,-33.375,114.875,"Recreational","LINE",647,640,640,600
"229","Pink Snapper",2008,5,5,"Metro","Mindarie",NA,-31.70833302,115.5416679,"Recreational","LINE",601,600,600,600
"230","Pink Snapper",2008,5,25,"South-West","Bunbury",NA,NA,NA,"Recreational","LINE",1095,1090,1080,1050
"231","Pink Snapper",2008,6,8,"South-West","Bunbury",NA,NA,NA,"Recreational","LINE",690,690,680,650
"232","Pink Snapper",2008,6,26,"Metro","Scarborough",NA,-31.875,115.625,"Recreational","LINE",562,560,560,550
"233","Pink Snapper",2008,7,1,"Metro","Ocean Reef",NA,NA,NA,"Recreational","LINE",440,440,440,400
