"","Species","Year","Month","Day","Region","Location","Block","Lat","Lon","Sector","CaptureMeth","TL","TL10","TL20","TL50"
"36","Redthroat Emperor",2005,4,23,"Mid","Dongara",NA,NA,NA,"Commercial","LINE",410,410,400,400
"37","Redthroat Emperor",2005,4,23,"Mid","Dongara",NA,NA,NA,"Commercial","LINE",405,400,400,400
"38","Redthroat Emperor",2005,4,23,"Mid","Dongara",NA,NA,NA,"Commercial","LINE",400,400,400,400
"39","Redthroat Emperor",2005,4,23,"Mid","Dongara",NA,NA,NA,"Commercial","LINE",467,460,460,450
"40","Redthroat Emperor",2005,4,23,"Mid","Dongara",NA,NA,NA,"Commercial","LINE",388,380,380,350
"41","Redthroat Emperor",2005,4,23,"Mid","Dongara",NA,NA,NA,"Commercial","LINE",435,430,420,400
"42","Redthroat Emperor",2005,4,23,"Mid","Dongara",NA,NA,NA,"Commercial","LINE",324,320,320,300
"43","Redthroat Emperor",2005,4,23,"Mid","Dongara",NA,NA,NA,"Commercial","LINE",342,340,340,300
"44","Redthroat Emperor",2005,4,23,"Mid","Dongara",NA,NA,NA,"Commercial","LINE",383,380,380,350
"45","Redthroat Emperor",2005,4,23,"Mid","Dongara",NA,NA,NA,"Commercial","LINE",410,410,400,400
"46","Redthroat Emperor",2005,4,23,"Mid","Dongara",NA,NA,NA,"Commercial","LINE",435,430,420,400
"47","Redthroat Emperor",2005,4,23,"Mid","Dongara",NA,NA,NA,"Commercial","LINE",270,270,260,250
"48","Redthroat Emperor",2010,7,4,"Mid","Jurien Bay",NA,NA,NA,"Recreational","LINE",385,380,380,350
"49","Redthroat Emperor",2010,7,19,"Mid","Geraldton",NA,NA,NA,"Recreational","LINE",464,460,460,450
"50","Redthroat Emperor",2010,7,19,"Mid","Geraldton",NA,NA,NA,"Recreational","LINE",463,460,460,450
"51","Redthroat Emperor",2010,7,19,"Mid","Geraldton",NA,NA,NA,"Recreational","LINE",478,470,460,450
"52","Redthroat Emperor",2010,7,19,"Mid","Geraldton",NA,NA,NA,"Recreational","LINE",474,470,460,450
"53","Redthroat Emperor",2010,7,19,"Mid","Geraldton",NA,NA,NA,"Recreational","LINE",496,490,480,450
"54","Redthroat Emperor",2010,7,31,"Mid","Geraldton",NA,NA,NA,"Recreational","LINE",490,490,480,450
"55","Redthroat Emperor",2010,7,31,"Mid","Geraldton",NA,NA,NA,"Recreational","LINE",470,470,460,450
"56","Redthroat Emperor",2010,7,31,"Mid","Geraldton",NA,NA,NA,"Recreational","LINE",485,480,480,450
"57","Redthroat Emperor",2010,7,31,"Mid","Geraldton",NA,NA,NA,"Recreational","LINE",480,480,480,450
"58","Redthroat Emperor",2010,8,7,"Mid","Abrolhos Wallabi Group",NA,NA,NA,"Commercial","LINE",368,360,360,350
"59","Redthroat Emperor",2011,4,24,"Mid","Jurien Bay",NA,NA,NA,"Recreational","LINE",478,470,460,450
"60","Redthroat Emperor",2011,4,24,"Mid","Jurien Bay",NA,NA,NA,"Recreational","LINE",480,480,480,450
"61","Redthroat Emperor",2011,8,7,"Mid","Jurien Bay","80BF",-30.375,114.7916679,"Recreational","LINE",367,360,360,350
"62","Redthroat Emperor",2011,10,13,"Mid","Abrolhos",NA,NA,NA,"Commercial","LINE",407,400,400,400
"63","Redthroat Emperor",2011,10,13,"Mid","Abrolhos",NA,NA,NA,"Commercial","LINE",492,490,480,450
"64","Redthroat Emperor",2011,10,13,"Mid","Abrolhos",NA,NA,NA,"Commercial","LINE",459,450,440,450
"65","Redthroat Emperor",2011,10,13,"Mid","Abrolhos",NA,NA,NA,"Commercial","LINE",459,450,440,450
"66","Redthroat Emperor",2011,10,13,"Mid","Abrolhos",NA,NA,NA,"Commercial","LINE",323,320,320,300
"67","Redthroat Emperor",2011,10,13,"Mid","Abrolhos",NA,NA,NA,"Commercial","LINE",482,480,480,450
"68","Redthroat Emperor",2011,10,13,"Mid","Abrolhos",NA,NA,NA,"Commercial","LINE",496,490,480,450
"69","Redthroat Emperor",2011,10,13,"Mid","Abrolhos",NA,NA,NA,"Commercial","LINE",436,430,420,400
"70","Redthroat Emperor",2011,10,13,"Mid","Abrolhos",NA,NA,NA,"Commercial","LINE",475,470,460,450
"71","Redthroat Emperor",2011,10,13,"Mid","Abrolhos",NA,NA,NA,"Commercial","LINE",580,580,580,550
"72","Redthroat Emperor",2011,10,13,"Mid","Abrolhos",NA,NA,NA,"Commercial","LINE",380,380,380,350
"73","Redthroat Emperor",2011,10,13,"Mid","Abrolhos",NA,NA,NA,"Commercial","LINE",429,420,420,400
"74","Redthroat Emperor",2011,10,13,"Mid","Abrolhos",NA,NA,NA,"Commercial","LINE",446,440,440,400
"75","Redthroat Emperor",2011,10,13,"Mid","Abrolhos",NA,NA,NA,"Commercial","LINE",349,340,340,300
"76","Redthroat Emperor",2011,10,13,"Mid","Abrolhos",NA,NA,NA,"Commercial","LINE",465,460,460,450
"77","Redthroat Emperor",2011,10,13,"Mid","Abrolhos",NA,NA,NA,"Commercial","LINE",350,350,340,350
"78","Redthroat Emperor",2011,10,13,"Mid","Abrolhos",NA,NA,NA,"Commercial","LINE",426,420,420,400
"79","Redthroat Emperor",2011,10,13,"Mid","Abrolhos",NA,NA,NA,"Commercial","LINE",353,350,340,350
"80","Redthroat Emperor",2011,10,13,"Mid","Abrolhos",NA,NA,NA,"Commercial","LINE",391,390,380,350
"81","Redthroat Emperor",2011,10,13,"Mid","Abrolhos",NA,NA,NA,"Commercial","LINE",422,420,420,400
"82","Redthroat Emperor",2011,10,13,"Mid","Abrolhos",NA,NA,NA,"Commercial","LINE",410,410,400,400
"83","Redthroat Emperor",2011,10,13,"Mid","Abrolhos",NA,NA,NA,"Commercial","LINE",538,530,520,500
"84","Redthroat Emperor",2012,1,29,"Mid","Jurien Bay",NA,NA,NA,"Recreational","LINE",312,310,300,300
"85","Redthroat Emperor",2012,5,5,"Mid","South West Bank","95AZ",-29.125,114.2916679,"Recreational","LINE",462,460,460,450
"86","Redthroat Emperor",2012,5,5,"Mid","South West Bank","95AZ",-29.125,114.2916679,"Recreational","LINE",530,530,520,500
"87","Redthroat Emperor",2012,5,5,"Mid","South West Bank","95AZ",-29.125,114.2916679,"Recreational","LINE",426,420,420,400
"88","Redthroat Emperor",2012,5,5,"Mid","South West Bank","95AZ",-29.125,114.2916679,"Recreational","LINE",568,560,560,550
"89","Redthroat Emperor",2012,8,5,"Mid","Jurien Bay",NA,NA,NA,"Recreational","LINE",510,510,500,500
"90","Redthroat Emperor",2012,9,10,"Mid","Jurien Bay",NA,NA,NA,"Recreational","LINE",363,360,360,350
"91","Redthroat Emperor",2012,10,1,"Mid","Dongara","93BE",-29.29166698,114.7083321,"Recreational","LINE",414,410,400,400
"92","Redthroat Emperor",2012,10,1,"Mid","Dongara","93BE",-29.29166698,114.7083321,"Recreational","LINE",414,410,400,400
"93","Redthroat Emperor",2012,10,1,"Mid","Dongara","93BE",-29.29166698,114.7083321,"Recreational","LINE",481,480,480,450
"94","Redthroat Emperor",2012,10,1,"Mid","Dongara","93BE",-29.29166698,114.7083321,"Recreational","LINE",479,470,460,450
"95","Redthroat Emperor",2013,3,1,"Mid","Jurien Bay",NA,NA,NA,"Recreational","LINE",310,310,300,300
"96","Redthroat Emperor",2013,3,2,"Mid","Jurien Bay",NA,NA,NA,"Recreational","LINE",492,490,480,450
"97","Redthroat Emperor",2013,3,2,"Mid","Jurien Bay",NA,NA,NA,"Recreational","LINE",291,290,280,250
"98","Redthroat Emperor",2013,3,2,"Mid","Jurien Bay",NA,NA,NA,"Recreational","LINE",293,290,280,250
"99","Redthroat Emperor",2013,3,2,"Mid","Jurien Bay",NA,NA,NA,"Recreational","LINE",278,270,260,250
"100","Redthroat Emperor",2013,3,2,"Mid","Jurien Bay",NA,NA,NA,"Recreational","LINE",290,290,280,250
"101","Redthroat Emperor",2013,3,2,"Mid","Jurien Bay",NA,NA,NA,"Recreational","LINE",283,280,280,250
"102","Redthroat Emperor",2013,3,4,"Mid","Jurien Bay",NA,NA,NA,"Recreational","LINE",302,300,300,300
"103","Redthroat Emperor",2013,3,4,"Mid","Jurien Bay",NA,NA,NA,"Recreational","LINE",485,480,480,450
"104","Redthroat Emperor",2013,3,4,"Mid","Jurien Bay",NA,NA,NA,"Recreational","LINE",283,280,280,250
"105","Redthroat Emperor",2013,3,30,"Mid","Jurien Bay","80BE",-30.375,114.7083321,"Recreational","LINE",321,320,320,300
"106","Redthroat Emperor",2013,3,30,"Mid","Jurien Bay","80BE",-30.375,114.7083321,"Recreational","LINE",307,300,300,300
"107","Redthroat Emperor",2013,4,1,"Mid","Jurien Bay",NA,NA,NA,"Recreational","LINE",518,510,500,500
"108","Redthroat Emperor",2013,4,1,"Mid","Jurien Bay",NA,NA,NA,"Recreational","LINE",313,310,300,300
"109","Redthroat Emperor",2013,4,1,"Mid","Jurien Bay",NA,NA,NA,"Recreational","LINE",340,340,340,300
"110","Redthroat Emperor",2013,4,1,"Mid","Jurien Bay",NA,NA,NA,"Recreational","LINE",306,300,300,300
"111","Redthroat Emperor",2013,4,1,"Mid","Jurien Bay",NA,NA,NA,"Recreational","LINE",325,320,320,300
"112","Redthroat Emperor",2013,4,1,"Mid","Jurien Bay",NA,NA,NA,"Recreational","LINE",297,290,280,250
"113","Redthroat Emperor",2013,6,2,"Mid","Jurien Bay","80BF",-30.375,114.7916679,"Recreational","LINE",312,310,300,300
"114","Redthroat Emperor",2013,6,2,"Mid","Jurien Bay","80BF",-30.375,114.7916679,"Recreational","LINE",305,300,300,300
"115","Redthroat Emperor",2013,6,2,"Mid","Jurien Bay","80BE",-30.375,114.7083321,"Recreational","LINE",305,300,300,300
"116","Redthroat Emperor",2013,6,2,"Mid","Jurien Bay","80BE",-30.375,114.7083321,"Recreational","LINE",283,280,280,250
"117","Redthroat Emperor",2013,6,2,"Mid","Jurien Bay","80BE",-30.375,114.7083321,"Recreational","LINE",297,290,280,250
"118","Redthroat Emperor",2013,6,2,"Mid","Jurien Bay","80BE",-30.375,114.7083321,"Recreational","LINE",291,290,280,250
"119","Redthroat Emperor",2013,6,2,"Mid","Jurien Bay","80BE",-30.375,114.7083321,"Recreational","LINE",280,280,280,250
"120","Redthroat Emperor",2013,6,2,"Mid","Jurien Bay","80BE",-30.375,114.7083321,"Recreational","LINE",297,290,280,250
"121","Redthroat Emperor",2013,6,2,"Mid","Jurien Bay","80BE",-30.375,114.7083321,"Recreational","LINE",303,300,300,300
"122","Redthroat Emperor",2013,6,9,"Mid","Jurien Bay","80BF",-30.375,114.7916679,"Recreational","LINE",447,440,440,400
"123","Redthroat Emperor",2013,6,9,"Mid","Jurien Bay","80BH",-30.375,114.9583321,"Recreational","LINE",320,320,320,300
"124","Redthroat Emperor",2013,6,9,"Mid","Green Head","83BD",-30.125,114.625,"Recreational","LINE",330,330,320,300
"125","Redthroat Emperor",2013,6,9,"Mid","Green Head","83BD",-30.125,114.625,"Recreational","LINE",310,310,300,300
"126","Redthroat Emperor",2013,6,9,"Mid","Green Head","83BD",-30.125,114.625,"Recreational","LINE",310,310,300,300
"127","Redthroat Emperor",2013,7,20,"Mid","Jurien Bay","80BF",-30.375,114.7916679,"Recreational","LINE",307,300,300,300
"128","Redthroat Emperor",2013,7,20,"Mid","Jurien Bay","80BF",-30.375,114.7916679,"Recreational","LINE",310,310,300,300
"129","Redthroat Emperor",2013,7,20,"Mid","Jurien Bay","80BF",-30.375,114.7916679,"Recreational","LINE",300,300,300,300
"130","Redthroat Emperor",2013,7,20,"Mid","Jurien Bay","80BF",-30.375,114.7916679,"Recreational","LINE",322,320,320,300
"131","Redthroat Emperor",2013,7,20,"Mid","Jurien Bay","80BF",-30.375,114.7916679,"Recreational","LINE",290,290,280,250
"132","Redthroat Emperor",2013,9,28,"Mid","Jurien Bay",NA,NA,NA,"Recreational","LINE",305,300,300,300
"133","Redthroat Emperor",2013,9,28,"Mid","Jurien Bay",NA,NA,NA,"Recreational","LINE",318,310,300,300
"134","Redthroat Emperor",2013,9,28,"Mid","Jurien Bay",NA,NA,NA,"Recreational","LINE",330,330,320,300
"135","Redthroat Emperor",2013,9,28,"Mid","Jurien Bay",NA,NA,NA,"Recreational","LINE",314,310,300,300
"136","Redthroat Emperor",2013,9,28,"Mid","Jurien Bay",NA,NA,NA,"Recreational","LINE",343,340,340,300
"137","Redthroat Emperor",2013,11,10,"Mid","Abrolhos",NA,NA,NA,"Commercial","LINE",320,320,320,300
"138","Redthroat Emperor",2013,11,10,"Mid","Abrolhos",NA,NA,NA,"Commercial","LINE",306,300,300,300
"139","Redthroat Emperor",2013,12,30,"Mid","Jurien Bay",NA,NA,NA,"Recreational","LINE",344,340,340,300
"140","Redthroat Emperor",2013,12,30,"Mid","Jurien Bay",NA,NA,NA,"Recreational","LINE",313,310,300,300
"141","Redthroat Emperor",2014,1,27,"Mid","Jurien Bay",NA,NA,NA,"Recreational","LINE",357,350,340,350
"142","Redthroat Emperor",2014,1,27,"Mid","Jurien Bay",NA,NA,NA,"Recreational","LINE",335,330,320,300
"143","Redthroat Emperor",2014,1,27,"Mid","Jurien Bay",NA,NA,NA,"Recreational","LINE",314,310,300,300
"144","Redthroat Emperor",2014,1,27,"Mid","Jurien Bay",NA,NA,NA,"Recreational","LINE",333,330,320,300
"145","Redthroat Emperor",2014,1,27,"Mid","Jurien Bay",NA,NA,NA,"Recreational","LINE",377,370,360,350
"146","Redthroat Emperor",2014,1,27,"Mid","Jurien Bay",NA,NA,NA,"Recreational","LINE",322,320,320,300
"147","Redthroat Emperor",2014,2,22,"Mid","Jurien Bay",NA,NA,NA,"Recreational","LINE",352,350,340,350
"148","Redthroat Emperor",2014,2,22,"Mid","Jurien Bay",NA,NA,NA,"Recreational","LINE",338,330,320,300
"149","Redthroat Emperor",2014,2,22,"Mid","Jurien Bay",NA,NA,NA,"Recreational","LINE",350,350,340,350
"150","Redthroat Emperor",2014,2,22,"Mid","Jurien Bay",NA,NA,NA,"Recreational","LINE",355,350,340,350
"151","Redthroat Emperor",2014,2,22,"Mid","Jurien Bay",NA,NA,NA,"Recreational","LINE",332,330,320,300
"152","Redthroat Emperor",2014,2,22,"Mid","Jurien Bay",NA,NA,NA,"Recreational","LINE",350,350,340,350
"153","Redthroat Emperor",2014,2,22,"Mid","Jurien Bay",NA,NA,NA,"Recreational","LINE",348,340,340,300
"154","Redthroat Emperor",2014,2,22,"Mid","Jurien Bay",NA,NA,NA,"Recreational","LINE",335,330,320,300
"155","Redthroat Emperor",2014,2,22,"Mid","Jurien Bay",NA,NA,NA,"Recreational","LINE",345,340,340,300
"156","Redthroat Emperor",2014,3,1,"Mid","Jurien Bay","84BC",-30.04166698,114.5416679,"Recreational","LINE",370,370,360,350
"157","Redthroat Emperor",2014,3,1,"Mid","Jurien Bay","84BC",-30.04166698,114.5416679,"Recreational","LINE",355,350,340,350
"158","Redthroat Emperor",2014,3,1,"Mid","Jurien Bay","85BE",-29.95833302,114.7083321,"Recreational","LINE",320,320,320,300
"159","Redthroat Emperor",2014,3,5,"Mid","Jurien Bay","81BF",-30.29166698,114.7916679,"Recreational","LINE",327,320,320,300
"160","Redthroat Emperor",2014,3,5,"Mid","Jurien Bay","81BG",-30.29166698,114.875,"Recreational","LINE",356,350,340,350
"161","Redthroat Emperor",2014,3,5,"Mid","Jurien Bay","81BE",-30.29166698,114.7083321,"Recreational","LINE",351,350,340,350
"162","Redthroat Emperor",2014,3,5,"Mid","Jurien Bay","82BG",-30.20833302,114.875,"Recreational","LINE",333,330,320,300
"163","Redthroat Emperor",2014,3,5,"Mid","Jurien Bay","82BE",-30.20833302,114.7083321,"Recreational","LINE",344,340,340,300
"164","Redthroat Emperor",2014,3,5,"Mid","Jurien Bay","81BF",-30.29166698,114.7916679,"Recreational","LINE",343,340,340,300
"165","Redthroat Emperor",2014,3,5,"Mid","Jurien Bay","82BE",-30.20833302,114.7083321,"Recreational","LINE",350,350,340,350
"166","Redthroat Emperor",2014,3,5,"Mid","Jurien Bay","81BE",-30.29166698,114.7083321,"Recreational","LINE",354,350,340,350
"167","Redthroat Emperor",2014,3,5,"Mid","Jurien Bay","81BD",-30.29166698,114.625,"Recreational","LINE",315,310,300,300
"168","Redthroat Emperor",2014,3,5,"Mid","Jurien Bay","81BE",-30.29166698,114.7083321,"Recreational","LINE",361,360,360,350
"169","Redthroat Emperor",2014,3,5,"Mid","Jurien Bay","81BF",-30.29166698,114.7916679,"Recreational","LINE",358,350,340,350
"170","Redthroat Emperor",2014,3,5,"Mid","Jurien Bay","80BE",-30.375,114.7083321,"Recreational","LINE",370,370,360,350
"171","Redthroat Emperor",2014,3,5,"Mid","Jurien Bay","81BE",-30.29166698,114.7083321,"Recreational","LINE",343,340,340,300
"172","Redthroat Emperor",2014,3,5,"Mid","Jurien Bay","80BE",-30.375,114.7083321,"Recreational","LINE",331,330,320,300
"173","Redthroat Emperor",2014,3,5,"Mid","Jurien Bay","79BF",-30.45833302,114.7916679,"Recreational","LINE",299,290,280,250
"174","Redthroat Emperor",2014,3,5,"Mid","Jurien Bay","79BE",-30.45833302,114.7083321,"Recreational","LINE",363,360,360,350
"175","Redthroat Emperor",2014,3,5,"Mid","Jurien Bay","79BE",-30.45833302,114.7083321,"Recreational","LINE",335,330,320,300
"176","Redthroat Emperor",2014,3,5,"Mid","Jurien Bay","81BE",-30.29166698,114.7083321,"Recreational","LINE",320,320,320,300
"177","Redthroat Emperor",2014,3,5,"Mid","Jurien Bay","78BF",-30.54166698,114.7916679,"Recreational","LINE",385,380,380,350
"178","Redthroat Emperor",2014,3,5,"Mid","Jurien Bay","81BE",-30.29166698,114.7083321,"Recreational","LINE",355,350,340,350
"179","Redthroat Emperor",2014,3,5,"Mid","Jurien Bay",NA,NA,NA,"Recreational","LINE",320,320,320,300
"180","Redthroat Emperor",2014,4,18,"Mid","Jurien Bay","81BF",-30.29166698,114.7916679,"Recreational","LINE",355,350,340,350
"181","Redthroat Emperor",2014,4,18,"Mid","Jurien Bay","82BF",-30.20833302,114.7916679,"Recreational","LINE",333,330,320,300
"182","Redthroat Emperor",2014,4,18,"Mid","Jurien Bay",NA,NA,NA,"Recreational","LINE",343,340,340,300
"183","Redthroat Emperor",2014,4,18,"Mid","Jurien Bay","81BH",-30.29166698,114.9583321,"Recreational","LINE",313,310,300,300
"184","Redthroat Emperor",2014,4,18,"Mid","Cervantes","78BG",-30.54166698,114.875,"Recreational","LINE",323,320,320,300
"185","Redthroat Emperor",2014,4,18,"Mid","Green Head","84BD",-30.04166698,114.625,"Recreational","LINE",360,360,360,350
"186","Redthroat Emperor",2014,4,18,"Mid","Jurien Bay","82BE",-30.20833302,114.7083321,"Recreational","LINE",330,330,320,300
"187","Redthroat Emperor",2014,4,18,"Mid","Jurien Bay","81BE",-30.29166698,114.7083321,"Recreational","LINE",324,320,320,300
"188","Redthroat Emperor",2014,4,18,"Mid","Jurien Bay","81BE",-30.29166698,114.7083321,"Recreational","LINE",350,350,340,350
"189","Redthroat Emperor",2014,4,18,"Mid","Jurien Bay","82BF",-30.20833302,114.7916679,"Recreational","LINE",335,330,320,300
"190","Redthroat Emperor",2014,4,18,"Mid","Jurien Bay","82BF",-30.20833302,114.7916679,"Recreational","LINE",326,320,320,300
"191","Redthroat Emperor",2014,4,20,"Mid","Jurien Bay","80BE",-30.375,114.7083321,"Recreational","LINE",334,330,320,300
"192","Redthroat Emperor",2014,4,20,"Mid","Jurien Bay","81BH",-30.29166698,114.9583321,"Recreational","LINE",340,340,340,300
"193","Redthroat Emperor",2014,4,20,"Mid","Leeman","85BC",-29.95833302,114.5416679,"Recreational","LINE",327,320,320,300
"194","Redthroat Emperor",2014,4,20,"Mid","Jurien Bay","81BE",-30.29166698,114.7083321,"Recreational","LINE",374,370,360,350
"195","Redthroat Emperor",2014,4,20,"Mid","Jurien Bay",NA,NA,NA,"Recreational","LINE",340,340,340,300
"196","Redthroat Emperor",2014,4,21,"Mid","Jurien Bay","81BE",-30.29166698,114.7083321,"Recreational","LINE",381,380,380,350
"197","Redthroat Emperor",2014,4,21,"Mid","Green Head","84BG",-30.04166698,114.875,"Recreational","LINE",366,360,360,350
"198","Redthroat Emperor",2014,4,21,"Mid","Green Head","84BG",-30.04166698,114.875,"Recreational","LINE",358,350,340,350
"199","Redthroat Emperor",2014,4,21,"Mid","Green Head","84BD",-30.04166698,114.625,"Recreational","LINE",342,340,340,300
"200","Redthroat Emperor",2014,4,21,"Mid","Jurien Bay","82BE",-30.20833302,114.7083321,"Recreational","LINE",323,320,320,300
"201","Redthroat Emperor",2014,4,21,"Mid","Jurien Bay",NA,NA,NA,"Recreational","LINE",335,330,320,300
"202","Redthroat Emperor",2014,4,21,"Mid","Jurien Bay","81BD",-30.29166698,114.625,"Recreational","LINE",393,390,380,350
"203","Redthroat Emperor",2014,4,21,"Mid","Jurien Bay","81BD",-30.29166698,114.625,"Recreational","LINE",347,340,340,300
"204","Redthroat Emperor",2014,4,21,"Mid","Green Head","83BG",-30.125,114.875,"Recreational","LINE",320,320,320,300
"205","Redthroat Emperor",2014,4,21,"Mid","Cervantes","78BF",-30.54166698,114.7916679,"Recreational","LINE",366,360,360,350
"206","Redthroat Emperor",2014,4,21,"Mid","Jurien Bay","81BG",-30.29166698,114.875,"Recreational","LINE",360,360,360,350
"207","Redthroat Emperor",2014,4,21,"Mid","Green Head","84BG",-30.04166698,114.875,"Recreational","LINE",340,340,340,300
"208","Redthroat Emperor",2014,9,28,"Mid","Jurien Bay",NA,NA,NA,"Recreational","LINE",365,360,360,350
"209","Redthroat Emperor",2014,9,28,"Mid","Jurien Bay",NA,NA,NA,"Recreational","LINE",384,380,380,350
"210","Redthroat Emperor",2014,9,28,"Mid","Jurien Bay",NA,NA,NA,"Recreational","LINE",387,380,380,350
"211","Redthroat Emperor",2015,1,4,"Mid","Jurien Bay",NA,NA,NA,"Recreational","LINE",364,360,360,350
"212","Redthroat Emperor",2015,1,4,"Mid","Jurien Bay",NA,NA,NA,"Recreational","LINE",500,500,500,500
"213","Redthroat Emperor",2015,1,4,"Mid","Jurien Bay",NA,NA,NA,"Recreational","LINE",385,380,380,350
"214","Redthroat Emperor",2015,1,25,"Mid","Cervantes",NA,NA,NA,"Recreational","LINE",340,340,340,300
"215","Redthroat Emperor",2015,1,25,"Mid","Cervantes",NA,NA,NA,"Recreational","LINE",384,380,380,350
"216","Redthroat Emperor",2015,4,3,"Mid","Jurien Bay",NA,NA,NA,"Recreational","LINE",399,390,380,350
"217","Redthroat Emperor",2015,4,3,"Mid","Jurien Bay",NA,NA,NA,"Recreational","LINE",366,360,360,350
"218","Redthroat Emperor",2015,4,3,"Mid","Jurien Bay",NA,NA,NA,"Recreational","LINE",398,390,380,350
"219","Redthroat Emperor",2015,4,3,"Mid","Jurien Bay",NA,NA,NA,"Recreational","LINE",374,370,360,350
"220","Redthroat Emperor",2015,4,3,"Mid","Jurien Bay",NA,NA,NA,"Recreational","LINE",398,390,380,350
"221","Redthroat Emperor",2015,4,5,"Mid","Jurien Bay",NA,NA,NA,"Recreational","LINE",298,290,280,250
"222","Redthroat Emperor",2015,4,5,"Mid","Jurien Bay",NA,NA,NA,"Recreational","LINE",384,380,380,350
"223","Redthroat Emperor",2015,4,26,"Mid","Jurien Bay",NA,NA,NA,"Recreational","LINE",348,340,340,300
"224","Redthroat Emperor",2015,5,30,"Mid","Cervantes","77BE",-30.625,114.7083321,"Recreational","LINE",414,410,400,400
"225","Redthroat Emperor",2015,5,30,"Mid","Cervantes","76BG",-30.70833302,114.875,"Recreational","LINE",378,370,360,350
"226","Redthroat Emperor",2015,9,27,"Mid","Jurien Bay",NA,NA,NA,"Recreational","LINE",436,430,420,400
